,fullname,html,is_retweet,likes,replies,retweet_id,retweeter_userid,retweeter_username,retweets,text,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username
10,Kory B_Fit ◢ ◤ 🔜 Illenium,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14085146"" dir=""ltr"" href=""/WPXI""><s>@</s><b>WPXI</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""160685341"" dir=""ltr"" href=""/WPXIScott""><s>@</s><b>WPXIScott</b></a> check this cloud out with the <strong>tornado</strong> watch spinning circles it literally got dark real fast in Wexford <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bA0WQZf11f"">pic.twitter.com/bA0WQZf11f</a></p>",0,4,1,,,,1,@WPXI @WPXIScott check this cloud out with the tornado watch spinning circles it literally got dark real fast in Wexford pic.twitter.com/bA0WQZf11f,2019-04-14 23:59:40,1555286380,1117578196076122112,/Crosby2787/status/1117578196076122112,377392096,Crosby2787
11,"Cheyenne Dashner 💜 | IRL, OTO, WDW , SHAWMILA 💜","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Into their basements. There was also sightings of a <strong>tornado</strong> in Conneaut Lake</p>",0,0,0,,,,0,Into their basements. There was also sightings of a tornado in Conneaut Lake,2019-04-14 23:59:38,1555286378,1117578191013588993,/cheydashner_00/status/1117578191013588993,3103117313,cheydashner_00
12,Jill Gartz,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Interesting experience huddling in a tiny bathroom with my husband and dog during a <strong>tornado</strong> warning.  Fortunately, everything is still intact<img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/><img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/></p>",0,0,0,,,,0,"Interesting experience huddling in a tiny bathroom with my husband and dog during a tornado warning.  Fortunately, everything is still intact",2019-04-14 23:59:33,1555286373,1117578168309882880,/jill0490/status/1117578168309882880,263404232,jill0490
13,Courtny Jodon,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sharon Childress is speaking at the church service right now. Her family lost their home to the <strong>tornado</strong> last year. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/flFvHd9dyg"">pic.twitter.com/flFvHd9dyg</a></p>",0,0,0,,,,0,Sharon Childress is speaking at the church service right now. Her family lost their home to the tornado last year. pic.twitter.com/flFvHd9dyg,2019-04-14 23:59:32,1555286372,1117578163956088832,/CourtnyJodonTV/status/1117578163956088832,2994407219,CourtnyJodonTV
14,Karen,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I watch one TV show a week and all the TV station is showing is a <strong>tornado</strong> warning 100 miles north of me.</p>",0,0,0,,,,0,I watch one TV show a week and all the TV station is showing is a tornado warning 100 miles north of me.,2019-04-14 23:59:31,1555286371,1117578157891170305,/kmacassar/status/1117578157891170305,482034833,kmacassar
15,IVPvideos,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We are under <strong>tornado</strong> warnings and I swear if it takes out my Directv during Game Of Thrones I’m gonna lay on the ground and scream.</p>",0,11,4,,,,0,We are under tornado warnings and I swear if it takes out my Directv during Game Of Thrones I’m gonna lay on the ground and scream.,2019-04-14 23:59:24,1555286364,1117578128593960960,/IVPvideos/status/1117578128593960960,30989061,IVPvideos
16,⚡️ Tornado Weather Alerts,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NWS Alert&gt; Potential <strong>Tornado</strong> Over Collinsville Moving NE At 50 MPH. Mobile Homes May Be Damaged. Damage to Roofs, Windows, &amp; Vehicles will Occur. Tree Damage is Likely. Locations Impacted Include Penhook. Basset... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vawx?src=hash""><s>#</s><b>vawx</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0"" dir=""ltr"" href=""https://t.co/Y6pv9EP4Kg"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">simpleweatheralert.com/cgi-bin/weathe</span><span class=""invisible"">rdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,1,0,,,,0,"NWS Alert> Potential Tornado Over Collinsville Moving NE At 50 MPH. Mobile Homes May Be Damaged. Damage to Roofs, Windows, & Vehicles will Occur. Tree Damage is Likely. Locations Impacted Include Penhook. Basset... #vawx http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&a=1003&t=0 …",2019-04-14 23:59:23,1555286363,1117578125947351040,/TornadoWeather/status/1117578125947351040,372078694,TornadoWeather
17,radiqa.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">wow the southeast area of the u.s really getting that beat down with these <strong>tornado</strong> watch lately, and I just got home from a housewarming party and went back out to go buy a smart tv @ Best Buy for our half finished basement and got home again and it’s raining super hard</p>",0,1,1,,,,0,"wow the southeast area of the u.s really getting that beat down with these tornado watch lately, and I just got home from a housewarming party and went back out to go buy a smart tv @ Best Buy for our half finished basement and got home again and it’s raining super hard",2019-04-14 23:59:20,1555286360,1117578113439940610,/wtfisnetflix/status/1117578113439940610,1033587708822732800,wtfisnetflix
18,Lain,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why are <strong>tornado</strong> warnings always at night? Why can’t they be when I am supposed to be having class????</p>",0,27,0,,,,1,Why are tornado warnings always at night? Why can’t they be when I am supposed to be having class????,2019-04-14 23:59:08,1555286348,1117578062428889089,/AlainaBarner/status/1117578062428889089,1003009897439559682,AlainaBarner
19,Stalker63 Gaming,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My view as our local authorities drive around warning everyone to take cover as we've had a <strong>tornado</strong> hit <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dl5FoiJjKd"">pic.twitter.com/dl5FoiJjKd</a></p>",0,13,1,,,,3,My view as our local authorities drive around warning everyone to take cover as we've had a tornado hit pic.twitter.com/dl5FoiJjKd,2019-04-14 23:59:08,1555286348,1117578061279629313,/Stalker63Gaming/status/1117578061279629313,911031547800772608,Stalker63Gaming
20,lil chocolate 🍫,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I don’t think a <strong>tornado</strong> will hit in the ferrum / franklin county area <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>",0,3,2,,,,0,I don’t think a tornado will hit in the ferrum / franklin county area ,2019-04-14 23:59:59,1555286399,1117578278783602688,/uuh_lexis/status/1117578278783602688,236036320,uuh_lexis
21,Event Tracker,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I think Event: <strong>Tornado</strong> has occurred in OHIO A
Sun Apr 14 18:56:02 2019 CDT <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/2Wpphxj4iV"">pic.twitter.com/2Wpphxj4iV</a></p>",0,0,0,,,,0,"I think Event: Tornado has occurred in OHIO A
Sun Apr 14 18:56:02 2019 CDT pic.twitter.com/2Wpphxj4iV",2019-04-14 23:59:58,1555286398,1117578274220191745,/Keith_Event/status/1117578274220191745,3158550950,Keith_Event
22,ARYA KUSUMA🍼,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Sumacum Laude (gelar akademik dr USA untuk siswa yg ber IP 4) tapi soal ekonomi mikro &amp; makro di ajarin sm mantan tukang meuble. Malu banget gak sih ?</p>",0,8,1,,,,4,Sumacum Laude (gelar akademik dr USA untuk siswa yg ber IP 4) tapi soal ekonomi mikro & makro di ajarin sm mantan tukang meuble. Malu banget gak sih ?,2019-04-14 23:59:58,1555286398,1117578272865259521,/lidah_tornado/status/1117578272865259521,258358855,lidah_tornado
23,Catherine Rochereul,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tornado</strong> watch? Hopefully my 1898‘s house can withstand one. Weather is so crazy</p>",0,0,0,,,,0,Tornado watch? Hopefully my 1898‘s house can withstand one. Weather is so crazy,2019-04-14 23:59:57,1555286397,1117578268243374081,/Rochereul/status/1117578268243374081,902106506,Rochereul
24,Ray Strickland,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt""><strong>Tornado</strong>.</p>",0,2,0,,,,1,Tornado.,2019-04-14 23:59:52,1555286392,1117578248001654784,/realraystrick/status/1117578248001654784,1426302145,realraystrick
25,Michael Gorsegner,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wow. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tornado?src=hash""><s>#</s><b><strong>Tornado</strong></b></a> Warning in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""193388366"" dir=""ltr"" href=""/YorkCounty_PA""><s>@</s><b>YorkCounty_PA</b></a>. Sky is looking ominous. Take cover if you are in the area. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""9651842"" dir=""ltr"" href=""/CBS21NEWS""><s>@</s><b>CBS21NEWS</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""262678932"" dir=""ltr"" href=""/chrisnallan""><s>@</s><b>chrisnallan</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/B2ilFrGCcO"">pic.twitter.com/B2ilFrGCcO</a></p>",0,0,0,,,,0,Wow. #Tornado Warning in @YorkCounty_PA. Sky is looking ominous. Take cover if you are in the area. @CBS21NEWS @chrisnallanpic.twitter.com/B2ilFrGCcO,2019-04-14 23:59:52,1555286392,1117578245875163136,/MikeGorsegner/status/1117578245875163136,108984130,MikeGorsegner
26,TONY,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr""><a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/fcx42p7Q2Ds"" dir=""ltr"" href=""https://t.co/A7yOBDWnlP"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/fcx42p7Q2Ds""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/fcx42p7Q2Ds</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> FILES TV,<strong>TORNADO</strong> TV et YouTubé Censuré chaînes sur youtube</p>",0,0,0,,,,0,"https://youtu.be/fcx42p7Q2Ds  FILES TV,TORNADO TV et YouTubé Censuré chaînes sur youtube",2019-04-14 23:59:51,1555286391,1117578243908014082,/Tornado28212621/status/1117578243908014082,1031678411851411457,Tornado28212621
27,Heartland Waterfowl,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">First light flock of mallards. These are the moments we see when we close our eyes at night and are what keep us coming back for more! 

| <strong>Tornado</strong> Alley Waterfowl | Bass Pro Shops | Remington Arms Company | Carlson's Choke Tubes | Realtree Outdoors® | <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/"" dir=""ltr"" href=""https://t.co/uglhA1kov3"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/HeartlandWater</span><span class=""invisible"">fowl/videos/348050639155283/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,"First light flock of mallards. These are the moments we see when we close our eyes at night and are what keep us coming back for more! 

| Tornado Alley Waterfowl | Bass Pro Shops | Remington Arms Company | Carlson's Choke Tubes | Realtree Outdoors® | https://www.facebook.com/HeartlandWaterfowl/videos/348050639155283/ …",2019-04-14 23:59:51,1555286391,1117578243362758663,/HWaterfowl/status/1117578243362758663,563981626,HWaterfowl
28,CrackedOS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Tornado</strong> Warning here. I'm sure i'll be fine</p>",0,0,0,,,,0,Tornado Warning here. I'm sure i'll be fine,2019-04-14 23:59:48,1555286388,1117578231564120065,/crackedos/status/1117578231564120065,1016091033883594757,crackedos
29,Justin Berk,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">That was before the <strong>tornado</strong> warning... So it was trying</p>",0,5,0,,,,0,That was before the tornado warning... So it was trying,2019-04-14 23:59:40,1555286380,1117578198538235905,/JustinWeather/status/1117578198538235905,11996222,JustinWeather
30,Kory B_Fit ◢ ◤ 🔜 Illenium,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14085146"" dir=""ltr"" href=""/WPXI""><s>@</s><b>WPXI</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""160685341"" dir=""ltr"" href=""/WPXIScott""><s>@</s><b>WPXIScott</b></a> check this cloud out with the <strong>tornado</strong> watch spinning circles it literally got dark real fast in Wexford <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bA0WQZf11f"">pic.twitter.com/bA0WQZf11f</a></p>",0,4,1,,,,1,@WPXI @WPXIScott check this cloud out with the tornado watch spinning circles it literally got dark real fast in Wexford pic.twitter.com/bA0WQZf11f,2019-04-14 23:59:40,1555286380,1117578196076122112,/Crosby2787/status/1117578196076122112,377392096,Crosby2787
31,"Cheyenne Dashner 💜 | IRL, OTO, WDW , SHAWMILA 💜","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Into their basements. There was also sightings of a <strong>tornado</strong> in Conneaut Lake</p>",0,0,0,,,,0,Into their basements. There was also sightings of a tornado in Conneaut Lake,2019-04-14 23:59:38,1555286378,1117578191013588993,/cheydashner_00/status/1117578191013588993,3103117313,cheydashner_00
32,Jill Gartz,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Interesting experience huddling in a tiny bathroom with my husband and dog during a <strong>tornado</strong> warning.  Fortunately, everything is still intact<img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/><img alt=""❤️"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/></p>",0,0,0,,,,0,"Interesting experience huddling in a tiny bathroom with my husband and dog during a tornado warning.  Fortunately, everything is still intact",2019-04-14 23:59:33,1555286373,1117578168309882880,/jill0490/status/1117578168309882880,263404232,jill0490
33,Courtny Jodon,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sharon Childress is speaking at the church service right now. Her family lost their home to the <strong>tornado</strong> last year. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/flFvHd9dyg"">pic.twitter.com/flFvHd9dyg</a></p>",0,0,0,,,,0,Sharon Childress is speaking at the church service right now. Her family lost their home to the tornado last year. pic.twitter.com/flFvHd9dyg,2019-04-14 23:59:32,1555286372,1117578163956088832,/CourtnyJodonTV/status/1117578163956088832,2994407219,CourtnyJodonTV
34,Karen,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I watch one TV show a week and all the TV station is showing is a <strong>tornado</strong> warning 100 miles north of me.</p>",0,0,0,,,,0,I watch one TV show a week and all the TV station is showing is a tornado warning 100 miles north of me.,2019-04-14 23:59:31,1555286371,1117578157891170305,/kmacassar/status/1117578157891170305,482034833,kmacassar
35,IVPvideos,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We are under <strong>tornado</strong> warnings and I swear if it takes out my Directv during Game Of Thrones I’m gonna lay on the ground and scream.</p>",0,11,4,,,,0,We are under tornado warnings and I swear if it takes out my Directv during Game Of Thrones I’m gonna lay on the ground and scream.,2019-04-14 23:59:24,1555286364,1117578128593960960,/IVPvideos/status/1117578128593960960,30989061,IVPvideos
36,⚡️ Tornado Weather Alerts,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NWS Alert&gt; Potential <strong>Tornado</strong> Over Collinsville Moving NE At 50 MPH. Mobile Homes May Be Damaged. Damage to Roofs, Windows, &amp; Vehicles will Occur. Tree Damage is Likely. Locations Impacted Include Penhook. Basset... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vawx?src=hash""><s>#</s><b>vawx</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0"" dir=""ltr"" href=""https://t.co/Y6pv9EP4Kg"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">simpleweatheralert.com/cgi-bin/weathe</span><span class=""invisible"">rdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&amp;a=1003&amp;t=0</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,1,0,,,,0,"NWS Alert> Potential Tornado Over Collinsville Moving NE At 50 MPH. Mobile Homes May Be Damaged. Damage to Roofs, Windows, & Vehicles will Occur. Tree Damage is Likely. Locations Impacted Include Penhook. Basset... #vawx http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=VA125CF277E834.TornadoWarning.125CF283979CVA.RNKSVSRNK.37fbe3119417db723a36fe888baf35c1&a=1003&t=0 …",2019-04-14 23:59:23,1555286363,1117578125947351040,/TornadoWeather/status/1117578125947351040,372078694,TornadoWeather
37,radiqa.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">wow the southeast area of the u.s really getting that beat down with these <strong>tornado</strong> watch lately, and I just got home from a housewarming party and went back out to go buy a smart tv @ Best Buy for our half finished basement and got home again and it’s raining super hard</p>",0,1,1,,,,0,"wow the southeast area of the u.s really getting that beat down with these tornado watch lately, and I just got home from a housewarming party and went back out to go buy a smart tv @ Best Buy for our half finished basement and got home again and it’s raining super hard",2019-04-14 23:59:20,1555286360,1117578113439940610,/wtfisnetflix/status/1117578113439940610,1033587708822732800,wtfisnetflix
38,Lain,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why are <strong>tornado</strong> warnings always at night? Why can’t they be when I am supposed to be having class????</p>",0,27,0,,,,1,Why are tornado warnings always at night? Why can’t they be when I am supposed to be having class????,2019-04-14 23:59:08,1555286348,1117578062428889089,/AlainaBarner/status/1117578062428889089,1003009897439559682,AlainaBarner
