,fullname,html,is_retweet,likes,replies,retweet_id,retweeter_userid,retweeter_username,retweets,text,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username
10,Nichole Meerleveld,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2277971460"" dir=""ltr"" href=""/flood_courtney""><s>@</s><b><strong>flood</strong>_courtney</b></a> this one is great, too!!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ShakeUpLearning/status/1153035423989608448"" dir=""ltr"" href=""https://t.co/1dHbnRTOWL"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ShakeUpLearning/status/1153035423989608448""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ShakeUpLearnin</span><span class=""invisible"">g/status/1153035423989608448</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,1,0,,,,0,"@flood_courtney this one is great, too!!https://twitter.com/ShakeUpLearning/status/1153035423989608448 …",2019-07-21 23:59:11,1563753551,1153092086859743237,/nmeerleveld/status/1153092086859743237,27675536,nmeerleveld
11,IEMBot LWX,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">LWX continues Flash <strong>Flood</strong> Warning for Shenandoah [VA] till Jul 21, 9:30 PM EDT <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028"" dir=""ltr"" href=""https://t.co/Wc9MbnQ5qN"" rel=""nofollow noopener"" target=""_blank"" title=""https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">mesonet.agron.iastate.edu/vtec/f/2019-O-</span><span class=""invisible"">CON-KLWX-FF-W-0028</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,"LWX continues Flash Flood Warning for Shenandoah [VA] till Jul 21, 9:30 PM EDT https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028 …",2019-07-21 23:59:10,1563753550,1153092083466612736,/iembot_lwx/status/1153092083466612736,34929056,iembot_lwx
12,West Virginia WX Bot,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">LWX continues Flash <strong>Flood</strong> Warning for Shenandoah [VA] till Jul 21, 9:30 PM EDT <a class=""twitter-timeline-link"" data-expanded-url=""https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028"" dir=""ltr"" href=""https://t.co/JpSG3fFDwd"" rel=""nofollow noopener"" target=""_blank"" title=""https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">mesonet.agron.iastate.edu/vtec/f/2019-O-</span><span class=""invisible"">CON-KLWX-FF-W-0028</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,"LWX continues Flash Flood Warning for Shenandoah [VA] till Jul 21, 9:30 PM EDT https://mesonet.agron.iastate.edu/vtec/f/2019-O-CON-KLWX-FF-W-0028 …",2019-07-21 23:59:10,1563753550,1153092083424649217,/westvirginia_wx/status/1153092083424649217,787394256759578624,westvirginia_wx
13,Online Articles,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Assam <strong>floods</strong>: Army organises medical, veterinary camps to check waterborne diseases <a class=""twitter-timeline-link"" data-expanded-url=""https://onlinearticles.net/assam-floods-army-organises-medical-veterinary-camps-to-check-waterborne-diseases/"" dir=""ltr"" href=""https://t.co/O2vtJ3O1wB"" rel=""nofollow noopener"" target=""_blank"" title=""https://onlinearticles.net/assam-floods-army-organises-medical-veterinary-camps-to-check-waterborne-diseases/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">onlinearticles.net/assam-floods-a</span><span class=""invisible"">rmy-organises-medical-veterinary-camps-to-check-waterborne-diseases/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,"Assam floods: Army organises medical, veterinary camps to check waterborne diseases https://onlinearticles.net/assam-floods-army-organises-medical-veterinary-camps-to-check-waterborne-diseases/ …",2019-07-21 23:59:02,1563753542,1153092049614397440,/OnlineArtilces/status/1153092049614397440,1075435745857290240,OnlineArtilces
14,いさな,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ORAS発売から4年以上たち、やっと今おきがえピカチュウを手に入れたいさな。なお完全な不意打ちだったため性格や個体値の厳選ができず恨みをいだいているようだ。</p>",0,0,0,,,,0,ORAS発売から4年以上たち、やっと今おきがえピカチュウを手に入れたいさな。なお完全な不意打ちだったため性格や個体値の厳選ができず恨みをいだいているようだ。,2019-07-21 23:59:00,1563753540,1153092040030244865,/flood_NIX/status/1153092040030244865,2810574464,flood_NIX
15,Dan Ebner,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Flash <strong>flooding</strong> could become quite a concern in southwestern MO this evening and overnight. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MOwx?src=hash""><s>#</s><b>MOwx</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/h67vasEOCO"">pic.twitter.com/h67vasEOCO</a></p>",0,1,0,,,,2,Flash flooding could become quite a concern in southwestern MO this evening and overnight. #MOwxpic.twitter.com/h67vasEOCO,2019-07-21 23:58:50,1563753530,1153091999072968709,/WeatherEbner/status/1153091999072968709,380564046,WeatherEbner
16,YesBut,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Water is essential for life. Can I <strong>flood</strong> your basement with with?</p>",0,0,3,,,,0,Water is essential for life. Can I flood your basement with with?,2019-07-21 23:58:45,1563753525,1153091978361528322,/YesBut14/status/1153091978361528322,1103637766888255489,YesBut14
17,⚰Ded⚰,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Everybody ok with me taking things a bit slower with this latest pic? 

When I cant figure shit out I stress myself by imagining a non existent deadline and then feelings of failure  <strong>flood</strong> over me. 

Anyways Joker pic comin soon <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/9EgN4H8FyW"">pic.twitter.com/9EgN4H8FyW</a></p>",0,1,1,,,,0,"Everybody ok with me taking things a bit slower with this latest pic? 

When I cant figure shit out I stress myself by imagining a non existent deadline and then feelings of failure  flood over me. 

Anyways Joker pic comin soon pic.twitter.com/9EgN4H8FyW",2019-07-21 23:58:41,1563753521,1153091959843622912,/DedEyeLewdles/status/1153091959843622912,1138516398555181056,DedEyeLewdles
18,KIT,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">meme bout joshlia-bea alonzo-gerald &amp; manny pacquiao are <strong>flooding</strong> my timeline halp.</p>",0,5,1,,,,0,meme bout joshlia-bea alonzo-gerald & manny pacquiao are flooding my timeline halp.,2019-07-21 23:58:33,1563753513,1153091925571883008,/kiethy_fairy/status/1153091925571883008,3314816540,kiethy_fairy
19,Wave to Wellness,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">F*ck Cancer.

Last night I attended Gone Country, a night of country music and individuals coming together to enjoy good company but most of all raise funds for cancer. 
As I held this piece of chalk memories of close friends, family and countless patients came <strong>flooding</strong> in. … <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/noCcq47MFU"">pic.twitter.com/noCcq47MFU</a></p>",0,0,0,,,,0,"F*ck Cancer.

Last night I attended Gone Country, a night of country music and individuals coming together to enjoy good company but most of all raise funds for cancer. 
As I held this piece of chalk memories of close friends, family and countless patients came flooding in. … pic.twitter.com/noCcq47MFU",2019-07-21 23:58:32,1563753512,1153091923428741120,/WaveWellness/status/1153091923428741120,1047300644401364992,WaveWellness
20,Russell Arnett,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23534104"" dir=""ltr"" href=""/MoElleithee""><s>@</s><b>MoElleithee</b></a> 
What we are seeing from lots of people on the left is . . .

Radical REVERSE Racism . . .

This, Just one element of the
""Fundamental Change to America""

<strong>Floods</strong>, Fires, Earthqukes, Tornadoes, Hurricanes &amp; More says we have gone far beyond any
""Bipatisan Solutions"".</p>",0,0,0,,,,0,"@MoElleithee 
What we are seeing from lots of people on the left is . . .

Radical REVERSE Racism . . .

This, Just one element of the
""Fundamental Change to America""

Floods, Fires, Earthqukes, Tornadoes, Hurricanes & More says we have gone far beyond any
""Bipatisan Solutions"".",2019-07-21 23:59:59,1563753599,1153092289029451777,/Arnett907Arnett/status/1153092289029451777,2664906795,Arnett907Arnett
21,さしみ（インド旅行中）,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">はーーーーーーーー天空クソ仕事パラダイス</p>",0,0,0,,,,0,はーーーーーーーー天空クソ仕事パラダイス,2019-07-21 23:59:47,1563753587,1153092238513037313,/flood_rawfish/status/1153092238513037313,2192381132,flood_rawfish
22,"Gwen Tolbart, Fox5DC","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">T-Storms with heavy rain will be an issue on Monday so be prepared. Flash <strong>Flood</strong> Watch in effect Monday afternoon through late night. Avg of 1-1/12."" with localized totals to 4"" poss. Turn Around Don't Drown.
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""13918492"" dir=""ltr"" href=""/fox5dc""><s>@</s><b>Fox5DC</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EIAMsyV3d6"">pic.twitter.com/EIAMsyV3d6</a></p>",0,2,0,,,,2,"T-Storms with heavy rain will be an issue on Monday so be prepared. Flash Flood Watch in effect Monday afternoon through late night. Avg of 1-1/12."" with localized totals to 4"" poss. Turn Around Don't Drown.
@Fox5DCpic.twitter.com/EIAMsyV3d6",2019-07-21 23:59:45,1563753585,1153092230925733888,/gwenfox5dc/status/1153092230925733888,1911186420,gwenfox5dc
23,Gary Chiles,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dangerous counterfeit substances used to <strong>flood</strong> the NZ black market.
Now that NZ is allowing drug testing and Australia isn't, all the counterfeiters are unloading their wares in Australia.
Congratulations, and thanks.
Don't let me distract you from counting the bodies.<img alt=""😒"" aria-label=""Emoji: Unamused face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f612.png"" title=""Unamused face""/></p>",0,1,0,,,,0,"Dangerous counterfeit substances used to flood the NZ black market.
Now that NZ is allowing drug testing and Australia isn't, all the counterfeiters are unloading their wares in Australia.
Congratulations, and thanks.
Don't let me distract you from counting the bodies.",2019-07-21 23:59:42,1563753582,1153092215813492736,/testtubeone/status/1153092215813492736,845163564,testtubeone
24,"Curt Flood, Jr.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Earl Scheib and 'nem.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wFV5WwGA1T"">pic.twitter.com/wFV5WwGA1T</a></p>",0,4,1,,,,0,Earl Scheib and 'nem.pic.twitter.com/wFV5WwGA1T,2019-07-21 23:59:28,1563753568,1153092157000957953,/curtfloodjr/status/1153092157000957953,157865007,curtfloodjr
25,Tyler Allender,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Careful! An average of 1-2 inches of rain is expected through Tuesday morning. Places that get a lot at once could see ponding on the roads or even isolated <strong>flooding</strong>, especially late Monday/Monday night. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2408617009"" dir=""ltr"" href=""/wjhl""><s>@</s><b>WJHL</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wjhlwx?src=hash""><s>#</s><b>wjhlwx</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dWWEOTqHvF"">pic.twitter.com/dWWEOTqHvF</a></p>",0,6,0,,,,4,"Careful! An average of 1-2 inches of rain is expected through Tuesday morning. Places that get a lot at once could see ponding on the roads or even isolated flooding, especially late Monday/Monday night. @WJHL #wjhlwxpic.twitter.com/dWWEOTqHvF",2019-07-21 23:59:25,1563753565,1153092144611123203,/TylerAllender/status/1153092144611123203,540186163,TylerAllender
26,PulpNews Crime,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Woman's body found after rains <strong>flood</strong> gulch late Saturday in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Lakewood?src=hash""><s>#</s><b>Lakewood</b></a> - Jul 21 @ 7:58 PM ET <a class=""twitter-timeline-link"" data-expanded-url=""https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php"" dir=""ltr"" href=""https://t.co/YtqgkdIqb5"" rel=""nofollow noopener"" target=""_blank"" title=""https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">oddcrimes.com/static/2019/07</span><span class=""invisible"">/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,Woman's body found after rains flood gulch late Saturday in #Lakewood - Jul 21 @ 7:58 PM ET https://oddcrimes.com/static/2019/07/21/Womans-body-found-after-rains-flood-gulch-late-Saturday-in-Lakewood.php …,2019-07-21 23:59:25,1563753565,1153092143260590081,/PulpNews/status/1153092143260590081,100986964,PulpNews
27,@NWSFlashFlood,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Flash <strong>Flood</strong> Warning continues for Woodstock VA, Maurertown VA, Toms Brook VA until 9:30 PM EDT <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gK5BYYsU1t"">pic.twitter.com/gK5BYYsU1t</a></p>",0,0,0,,,,0,"Flash Flood Warning continues for Woodstock VA, Maurertown VA, Toms Brook VA until 9:30 PM EDT pic.twitter.com/gK5BYYsU1t",2019-07-21 23:59:18,1563753558,1153092115200729089,/NWSFlashFlood/status/1153092115200729089,742351395152637953,NWSFlashFlood
28,Orla Flood 🌸,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I’m up at 1 in the morning thinking about what it’s gonna be like when I move out which is another month and 1 week away sorry I’d rather sleep now thank you</p>",0,0,0,,,,0,I’m up at 1 in the morning thinking about what it’s gonna be like when I move out which is another month and 1 week away sorry I’d rather sleep now thank you,2019-07-21 23:59:18,1563753558,1153092114508632066,/orlaflood98/status/1153092114508632066,1120469277570736133,orlaflood98
29,⚡️ Indiana Weather Alerts,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NWS Alert&gt; <strong>Flood</strong> Advisory is in effect in Gibson County until 11 PM <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/inwx?src=hash""><s>#</s><b>inwx</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1"" dir=""ltr"" href=""https://t.co/idAZSIZeaR"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">simpleweatheralert.com/cgi-bin/weathe</span><span class=""invisible"">rdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&amp;a=018&amp;t=1</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,0,0,,,,0,NWS Alert> Flood Advisory is in effect in Gibson County until 11 PM #inwx http://www.simpleweatheralert.com/cgi-bin/weatherdetail.py?l=IN125D04C45A90.FloodAdvisory.125D04D05E58IN.PAHFLSPAH.44511d031aa91917d6732a6ecf4266f6&a=018&t=1 …,2019-07-21 23:59:11,1563753551,1153092088168427521,/SimpleWeatherIN/status/1153092088168427521,318869755,SimpleWeatherIN
30,Nichole Meerleveld,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2277971460"" dir=""ltr"" href=""/flood_courtney""><s>@</s><b><strong>flood</strong>_courtney</b></a> this one is great, too!!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/ShakeUpLearning/status/1153035423989608448"" dir=""ltr"" href=""https://t.co/1dHbnRTOWL"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ShakeUpLearning/status/1153035423989608448""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ShakeUpLearnin</span><span class=""invisible"">g/status/1153035423989608448</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",0,1,0,,,,0,"@flood_courtney this one is great, too!!https://twitter.com/ShakeUpLearning/status/1153035423989608448 …",2019-07-21 23:59:11,1563753551,1153092086859743237,/nmeerleveld/status/1153092086859743237,27675536,nmeerleveld
